RA,Dec,Name,Kepler_ID,2MASS ID,Data Availability,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,,,
19 36 26.536,+50 13 15.92,theta_Cyg,11918630,19362654+5013155,0,4.494,67,70,20,2,432,403,10,4,2,433,397,14,6,2,427,397,74,22,2,427,402,,,
19 36 37.977,+44 41 41.77,HD_185351,8566020,19363801+4441418,2,5.034,59,45,14,1,504,74,21,8,1,501,79,37,12,1,496,79,61,18,1,497,75,,,
19 40 50.183,+45 31 29.79,HD_186155,9163520,19405016+4531295,2,5.055,66,48,14,4,703,388,24,8,4,704,392,40,12,4,707,392,64,18,4,709,388,,,
18 54 52.177,+41 36 09.80,HD_175740,6265087,18545217+4136098,0,5.212,0,36,11,4,996,590,80,23,4,996,586,52,15,4,992,586,8,3,4,991,590,,,
19 34 41.259,+42 24 45.03,HD_184875,6954647,19344127+4224448,0,5.403,0,23,8,3,1020,434,39,12,3,1024,435,63,18,3,1025,438,47,14,3,1020,439,,,
19 39 26.485,+42 49 05.80,14_Cyg,7292420,19392648+4249057,0,5.49,0,25,9,1,42,962,17,7,1,43,967,57,17,1,38,967,65,19,1,39,962,,,
19 57 13.868,+40 22 04.17,HD_189178,5219588,19571387+4022041,0,5.552,0,11,4,3,130,564,15,6,3,135,564,75,22,3,133,569,71,20,3,132,569,,,
19 47 26.827,+47 54 27.23,HD_187372,10679281,19472682+4754273,0,5.672,110,50,15,2,819,451,6,3,2,818,447,34,11,2,816,448,78,23,2,815,451,,,
19 23 56.502,+43 23 17.42,HD_182694,7680115,19235651+4323175,2,5.722,137,43,13,3,711,153,44,13,4,126,740,41,13,1,707,155,42,13,2,122,738,,,
19 50 37.328,+40 35 59.13, V380_Cyg,5385723,19503733+4035591,2,5.771,122,12,4,4,845,749,16,6,4,850,750,76,22,4,848,745,72,20,4,846,744,,,
19 40 41.150,+43 04 40.17,HD_186121,7456762,19404116+4304401,0,5.773,44,25,9,1,338,1063,17,7,1,339,1068,57,17,1,334,1068,65,19,1,335,1063,,,
19 41 48.955,+50 31 30.24, 16_Cyg_A,12069424,19414896+5031305,2,5.864,29,71,20,3,924,552,11,4,3,922,547,15,6,3,928,547,75,22,3,925,552,,,
19 59 20.424,+45 46 21.15,HD_189684,9305008,19592041+4546210,0,5.982,378,31,10,3,600,441,3,2,3,602,436,55,16,3,604,437,83,24,3,607,440,,,
19 16 51.387,+46 59 56.70,HD_181096,10005473,19165139+4659563,2,5.995,58,61,18,1,884,626,45,14,1,890,626,21,8,1,887,630,37,12,1,883,630,,,
19 52 07.166,+47 55 54.46,HD_188252,10683303,19520719+4755545,2,6.007,248,51,15,3,710,766,7,3,3,709,762,35,11,3,714,762,79,23,3,714,766,,,
19 18 37.871,+49 34 10.04,HD_181597,11555267,19183785+4934098,0,6.04,0,82,24,2,82,537,30,10,2,87,538,2,2,2,88,532,54,16,2,82,532,,,
19 05 09.839,+49 55 23.40,HD_178208,11753949,19050982+4955232,2,6.076,283,80,23,4,693,541,52,15,4,689,540,8,3,4,688,544,36,11,4,693,544,,,
19 41 51.980,+50 31 03.09, 16_Cyg_B,12069449,19415198+5031032,2,6.095,67,71,20,3,921,562,11,4,3,919,557,15,6,3,925,557,75,22,3,922,562,,,
19 39 34.537,+45 57 26.78,HD_185955,9411865,19393452+4557268,2,6.114,277,48,14,4,681,827,24,8,4,681,831,40,12,4,685,830,64,18,4,686,827,,,
19 36 32.407,+43 42 22.00,HD_185286,7966681,19363240+4342220,0,6.151,0,26,9,2,34,326,18,7,2,36,320,58,17,2,31,320,66,19,2,32,325,,,
