Name,SpType,[Fe/H],theta,Observed,Seasons,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Dist,Notes,Collaborators,Interferometry?,TRES?
HD_185351,G9IIIbCN,0.16,1.156, LC:Q1-3 SC:Q16 under,4,,,,6.091,5.176,3.654,5.034,59,RG: Retired A star,Hjorringgaard,,Yes
HD_186155,F5II-III,0.3,0.57, LC:Q1 under,4,,,,5.44,5.065,4.419,5.055,66,three sharp peaks,,,
HD_182694,  G7IIIa,-0.01,0.771, LC:Q2 under,4,,,,6.76,5.86,4.437,5.722,137,RG ,Tim W,Yes,
V380_Cyg,B1.1III+B2.5/3V,1.25,0.226, LC:Q11 SC:Q7 9 10 12-17 under,4,,,,5.615,5.675,5.712,5.771,122,Eclipsing_binary,,,
HD_188252,   B2III,,, LC:Q13 under,4,,,,5.719,5.885,6.234,6.007,248,RG maybe? Guy check,,,
HD_181069,   K1III,,, LC:Q1 10 13 14 17 under,4,,,,7.695,6.565,4.482,6.279,8,"RG: second clump, rotational splitting",,,
HD_175132,    B9sp,1.4,,181022,4,,,,6.19,6.263,6.315,6.362,434,sharp peaks,,,
V819_Cyg,B0.5IIIn,,, LC:Q14 16 17 under,4,,,,6.15,6.27,6.481,6.381,178,sharp peaks,,,
HD_187217,      K0,,, LC:Q14-17 under,4,,,,7.814,6.685,5.179,6.399,174,RG: 'good',,,
HD_183124,      G5,,, LC:Q2 4 6 8 10 12 14 16 under,4,,,,7.704,6.688,5.136,6.441,37,RG: clump star ,,,
HD_176582,     B5V,,, LC:Q12-13 under,4,,,,6.248,6.393,6.748,6.51,171,sharp peaks with envelope,,,
HD_180682,      K0,-0.43,, LC:Q0 3 7 under,4,,,,8.284,6.967,4.673,6.617,5,RG: low freq,,,
HD_181878,      G5,-0.33,, LC:Q14-17 under,4,,,,7.587,6.807,5.292,6.698,6,"RG: nice power spectrum. period spacing suggests AGB, so post common envelope system",,,
HD_174020,      K5,,, LC:Q2 6 10 14 under,4,,,,8.749,7.187,4.893,6.753,17,RG ,,,
HD_178090,      K5,,, LC:Q1 3 10 under,4,,,,8.903,7.23,4.365,6.758,6,Rotation?,,,
HD_175841,      A2,-0.2,, LC:Q11-12 14-16 SC:Q3 under,4,7898,3.506,0.046,6.805,6.912,6.491,6.885,224,Classical: gDor?,,,
HD_189013,      A2,-0.6,, SC:Q3 gDor under,4,7777,4.126,0.022,6.9,6.93,6.525,6.922,458,Classical: gDor,,,
HD_175740,   G8III,-0.1,1.035, unobserved,4,,,,6.486,5.462,4.08,5.212,0,RG: suppressed l=1,"Tim W, Guy, Cleo",Yes,Yes
HD_184875,     A2V,,0.349, unobserved,4,,,,5.399,5.337,5.128,5.403,0,Classical Pulsator,,,
14_Cyg,   B9III,0.08,0.267, unobserved,4,,,,5.334,5.394,5.365,5.49,0,"contact binary, interesting ramp at low freq",,,
HD_189178,     B5V,,0.236, unobserved,4,,,,5.356,5.448,5.595,5.552,0,Classical Pulsator,,,
HD_187372,   M1III,,2.693, unobserved,4,,,,7.805,6.141,2.979,5.672,110,RG: low freq,,,
HD_186121,   M2III,,3.429, unobserved,4,,,,7.735,6.198,2.561,5.773,44,RG: low freq,,,
HD_189684,   A5III,,0.293, unobserved,4,,,,6.092,5.938,5.517,5.982,378,Classical Pulsator,,,
HD_181597,   K1III,,, unobserved,4,,,,7.443,6.323,4.466,6.04,0,RG: Beautiful,Tim W,Yes,
HD_185286,      K5,,, unobserved,4,4092,1.432,0.044,7.3,6.025,4.331,6.151,0,RG: nice,Tim W,Yes,Yes
HD_188875,      K2,,, unobserved,4,,,,8.074,6.576,4.189,6.164,17,RG ,Tim W,Yes,Yes
HD_175466,      K2,,, unobserved,4,,,,8.277,6.628,3.858,6.165,113,RG: low freq,,,
V547_Lyr,  M4IIIa,,, unobserved,4,,,,8.109,6.611,2.258,6.199,48,RG: low freq,,,
HD_175884,      K0,,, unobserved,4,,,,7.878,6.56,4.655,6.21,153,RG: period spacing?,Tim W,Yes,
HD_179959,      K0,,, unobserved,4,,,,7.555,6.53,5.062,6.28,91,RG: numax 11-12,,,
V543_Lyr,     B3V,-0.05,, unobserved bCep,4,,,,6.037,6.182,6.477,6.299,0,Classical Pulsator,,,
HD_182354,      K0,,, unobserved,4,,,,7.708,6.599,4.674,6.32,0,RG: clump star with mixed modes,,,
HD_183362,    B3Ve,,, unobserved,4,,,,6.171,6.285,6.253,6.394,90,no idea what's going on,,,
HD_190149,M0II-III,,, unobserved,4,,,,8.626,6.958,3.682,6.488,88,RG: low freq,,,
HD_181022,      K5,,, unobserved,4,,,,8.498,6.931,3.755,6.496,0,RG: low freq,Tim W,Yes,
HD_174177,    A2IV,,, unobserved,4,,,,6.568,6.508,6.276,6.575,72,not sure-  Guy?,,,
HD_184787,     A0V,,, unobserved,4,,,,6.667,6.674,6.617,6.757,333,RG ,,,
HD_181681,   K4III,,, unobserved,4,,,,8.928,7.315,4.122,6.864,57,RG ,,,
V2083_Cyg,      A3,,, unobserved EB,4,,,,7.143,6.884,6.317,6.902,0,EB,,,
HD_183203,      K5,,, unobserved,4,,,,9.018,7.386,4.315,6.928,164,RG: low freq,,,
HD_176626,     A2V,,, unobserved,4,,,,6.849,6.851,6.726,6.933,67,two peaks,,,
HD_181521,      A0,,, unobserved,4,,,,6.901,6.866,6.738,6.939,9,Classical Pulsator,,,
HD_185397,      A5,,, unobserved,4,,,,7.191,6.934,6.263,6.953,358,Classical Pulsator,,,
HD_186255,      A3,,,unobserved,4,,,,7.044,6.916,6.471,6.966,0,Classical Pulsator,,,
HD_174829,      K0,,, unobserved,4,,,,8.583,7.304,5.099,6.967,7,RG ,,,
V398_Lyr,M3,,,unobserved,4,,,,8.877,7.421,1.869,7.024,49,RG ,,,
HD_181596,K5,,,unobserved,4,,,,9.14,7.508,4.923,7.05,255,RG: blended EB in some quarters,,,
HD_179395,B9,,,unobserved,4,,,,7.126,7.094,6.928,7.168,246,Classical Pulsator,,,
