input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
"294.1582345833333,44.69493333333333",6.078377994890612E-4,2078403295235690112,Gaia DR2 2078403295235690112,294.1576613499853,44.69448231480843,77.61644228870902,11.347387231165781,312.6951645881019,64.59420975655614,24.22482944765907,-94.64522002443373,-104.75776590172211,4.881522,5.4110723,4.3195724,0.0679459077063868,0.07933510146610871,0.08163753405368554,0.144007252142095,0.14911525962800476,,,,4063.9485,0.4425878915059835,84.67939116325037,51.486134,33,36,252,288,288,31,true,1.610029015012789,0.02095372703733317,0.08374777,4.706882,0.5295501,1.0914998,0.2728262,-0.31833822,0.0045602443,false,,,,200111,0,0.56194973,15.493437,15.640566,15.567001,40,0.031114433,296.73642,-0.15687263,-0.17561753,9.465123339013226E7,150453.04320468716,629.10815,29,1.1650108,2.102506771209011E8,464806.81637667125,452.3399,303,0,1.5029307818931442E8,514633.6024309169,292.039,30,NOT_AVAILABLE,-0.04022734,100001,0.025878286,-5.769665696259143,0.13974042319840518,5.160461,5.3592763,5.2223616,664503610,0.19855426,0.01563838,-0.22547403,2015.5,12,0.0,3.5,5000.0,1635721458409799680,4952.5,5047.0,5017.0,16,
"295.2090975,45.52493888888889",6.326627679049786E-4,2079990268465009024,Gaia DR2 2079990268465009024,295.2096161867121,45.525456779018434,78.71669248717015,11.070174317531167,315.06566192290325,65.06912448692908,19.730789693132916,84.36053099303751,120.23993102681351,4.923168,5.198258,4.669196,0.14921570749087157,0.14897398437241754,0.16213407637235644,0.39983008204299575,0.3536418598621924,,,,6613.8477,0.7966920574436177,208.5702290290011,66.13762,23,27,179,206,206,31,false,1.790286818425092,0.04064899289273928,0.21169238,1.4955347,0.27508974,0.5290618,0.16529469,-0.030525941,0.028558508,true,,,,200111,0,0.25397205,19.908215,20.302734,20.105474,25,0.13282263,121.69428,-0.046449985,-0.017761026,1.1514688181447591E8,345607.4003544806,333.17252,19,1.1073625,2.0233875330019444E8,531763.8664870543,380.50488,201,0,1.0891546716562837E8,834986.972649878,130.43973,23,NOT_AVAILABLE,0.18793307,100001,0.02593498,-20.056544482266176,0.592328249913073,3.2089212,3.673474,3.345442,886987740,-0.07292111,0.07721077,0.27919805,2015.5,10,0.0,3.5,6500.0,1635721458409799680,6377.0,6823.0,6682.3335,13,
"283.71740624999995,41.60272027777778",1.2838448064014493E-5,2104485016711846656,Gaia DR2 2104485016711846656,283.71739473102826,41.602710757624294,71.4923869942412,17.02513595743053,293.781794973918,63.913772864725594,12.244833540188248,-2.0592122135317004,-2.234456162507609,5.152375,5.713495,4.5422215,0.0746271862594925,0.08187324395302796,0.08743913230075259,0.1583566628482975,0.16373111684533725,0.016,2.0547,0.1235,3682.1746,0.4560450882099821,80.4190493959865,49.041233,29,37,226,263,263,31,true,1.580862759186532,0.023309707278737626,0.092102446,4.486746,0.56111956,1.1712732,0.198553,-0.107369274,-0.20784989,false,0.0077,0.7833,0.07,200111,0,0.6101537,49.455006,50.352146,49.903576,39,-0.053503007,140.03838,-0.13507766,-0.1976373,7.164028911442596E7,86329.88058459002,829.8435,23,1.1845609,1.6383107708958966E8,333712.70794782834,490.93448,258,0,1.2242759954842605E8,319766.1634627304,382.86603,26,NOT_AVAILABLE,-0.120763004,100001,-0.118837826,-9.51921435700056,0.1333296836813992,9.44429,10.5195265,10.166877,926242814,-0.101663046,-0.15956675,0.0605436,2015.5,10,0.0,3.0,4750.0,1635721458409799680,4730.0,4992.0,4811.3335,16,
"293.67192416666666,42.41251083333333",1.340942240039149E-4,2077737571001053312,Gaia DR2 2077737571001053312,293.6719373022101,42.41237709026624,75.3843405588905,10.619015575096684,310.09345241486056,62.5954276055809,5.768065889506803,2.213502261743475,-31.09401275002451,5.2788925,5.3652916,5.2586308,0.08821369562015322,0.10215209019114355,0.10736018711144114,0.1873009367268162,0.19350720839647378,0.3044,0.7851,0.497,8918.459,0.5872256246666865,162.86372785276606,76.90973,31,17,256,273,273,31,true,1.7838812479685147,0.027076729608935826,0.10476208,2.5872478,0.08639908,0.10666084,0.28439966,-0.13286364,-0.10761215,false,0.1319,0.3453,0.231,,0,0.020261765,,,,32,0.10923673,53.726303,0.0010318628,-0.21289997,9.872761270913598E7,140602.09574647425,702.17737,29,1.1111311,1.4581068275587726E8,236434.14673802018,616.7074,277,1,6.328716901480927E7,301081.8286878009,210.19923,27,NOT_AVAILABLE,0.0825605,100002,0.04886598,,,,,,396311409,-0.010634788,-0.045390707,-0.03529279,2015.5,0,,,,1635721458409799680,8609.0,9118.0,8750.0,16,Gaia DR1 2077737571001053312
"294.8603679166666,42.818272500000006",1.5735472919927622E-4,2077959092540451456,Gaia DR2 2077959092540451456,294.86048629287325,42.818403728771564,76.16126013695374,10.031073544587805,312.1857526199485,62.66388654552614,5.130571917581485,20.131409529793235,30.431793653190823,5.3699827,5.3639116,5.41885,0.15700276841491864,0.16348959674368924,0.17848867844287192,0.3339857751619853,0.33957683882055495,0.0285,0.2498,0.1018,15286.602,0.9618139367271934,412.6026889695438,97.947975,29,26,226,252,252,31,false,1.856842301709943,0.045916224001706536,0.17362256,1.0185473,-0.0060710907,-0.054938316,0.24587297,-0.12195015,-0.07142982,false,0.0152,0.1397,0.0668,,0,-0.048867226,,,,37,-0.105305344,28.744522,0.038705934,-0.09419893,9.885316087289695E7,173353.238972041,570.2412,27,1.144551,1.3407668301555383E8,203535.95431295686,658.7371,254,0,5.460444301876158E7,270571.3197935153,201.81165,26,NOT_AVAILABLE,-0.053966917,100001,-0.13458933,,,,,,165186661,-0.20992336,-0.057227593,-0.14037359,2015.5,0,,,,1635721458409799680,7420.0,9700.333,8951.333,15,Gaia DR1 2077959088236964736
"299.30778166666664,40.367825277777776",2.9391965212495725E-5,2073537612700605696,Gaia DR2 2073537612700605696,299.3078202055931,40.36782658479405,75.65387610312212,5.93137381293646,316.6619770537418,59.150951698134264,2.857122779386695,6.796265782139723,0.2837799251705362,5.41016,5.392919,5.49903,0.07931050790951064,0.11197395703323659,0.10329530571640644,0.16813301695650698,0.2030349511048099,0.0393,0.415,0.227,5383.2305,0.5203000471431891,113.51258515888367,59.903526,28,18,229,247,247,31,false,1.8602314688880468,0.023201323100521188,0.11287383,3.3661237,-0.017241001,-0.10611105,0.056846544,-0.4384717,-0.12343984,false,0.0267,0.2007,0.1243,,0,-0.08887005,,,,43,0.0716011,27.659754,-0.04464458,-0.258312,9.624708599394262E7,180855.92069129788,532.1755,33,1.1374434,1.29205858015936E8,195568.19802393098,660.66907,310,0,5.071727004606433E7,153465.52573953336,330.4799,31,NOT_AVAILABLE,0.044791583,100001,0.15054016,,,,,,904881222,-0.043443747,-0.14336471,-0.06814095,2015.5,0,,,,1635721458409799680,7853.0,9541.75,8765.333,15,Gaia DR1 2073537608390630528
"296.86178874999996,47.90757305555555",1.8979613869543016E-4,2086614688589352320,Gaia DR2 2086614688589352320,296.8616409188027,47.907411183287465,81.40196025458344,11.187443565317814,320.07404836998796,66.73684976182663,3.240142377215638,-23.02928418428443,-37.62791854380299,5.3131795,6.4167786,4.3695374,0.08451650583364254,0.09692947858453899,0.10501733003123698,0.20104667039390092,0.15630381494195575,,,,3667.1228,0.4667427642788658,86.60007168822067,49.13201,26,29,206,235,235,31,true,1.403964814083539,0.02614318963995247,0.10967397,4.254617,1.1035991,2.0472412,0.49997848,-0.23709837,-0.2174569,false,,,,200111,0,0.94364214,865.5392,935.442,900.4906,43,0.017380605,30.853407,-0.09481683,-0.30567592,3.748382686159181E7,127737.25400616786,293.44476,24,1.2812842,1.41277983778631E8,284272.8342140308,496.98026,281,0,1.435334203414888E8,691769.7756191072,207.48727,24,NOT_AVAILABLE,0.15156244,100001,0.027760636,-2.7286190303720206,0.9006770802026384,51.73421,69.88921,63.272297,1378027912,-0.08059822,-0.053219162,-0.0306104,2015.5,10,0.0,4.5,3800.0,1635721458409799680,3782.17,4395.995,3975.02,14,
"290.9854195833333,43.38816722222222",1.3569539415898878E-4,2126062687590513408,Gaia DR2 2126062687590513408,290.98550746572874,43.38804749579175,75.38756753153905,12.81536720436449,306.6912271485165,64.17769651026336,7.487345315775855,14.805610611185559,-27.867540912875537,5.598205,6.088229,5.0272975,0.03394790278724416,0.03725307951271302,0.03989128603499463,0.07730282217965018,0.08495840445258639,,,,1021.4725,0.19475376178794507,16.30381636316658,20.551226,32,36,241,277,277,31,true,1.5640647156504235,0.00983906022559338,0.05897272,23.731316,0.4900241,1.0609317,0.13448846,-0.030317647,-0.22346547,false,,,,200111,0,0.5709076,82.839134,84.15052,83.49483,39,0.12084554,187.69376,-0.2659494,-0.15356204,5.072985830632462E7,74697.33440202689,679.1388,27,1.187624,1.0865862656872779E8,103515.37876616507,1049.6858,299,0,7.831572999876736E7,353336.2276405853,221.64648,28,NOT_AVAILABLE,-0.23489477,100001,-0.1743295,-1.4654951955456612,0.14465616522801672,11.16458,12.118626,11.894689,11519770,0.17433818,-0.26041958,0.23245274,2015.5,15,0.0,3.0,5000.0,1635721458409799680,5012.04,5221.7974,5059.0,16,Gaia DR1 2126062687590513408
"297.65552791666664,40.599758055555554",3.552128422292061E-5,2073743839843579776,Gaia DR2 2073743839843579776,297.65551057522265,40.59972506473762,75.21556118743294,7.132817742584114,314.53618927524036,59.835640216574866,0.9417389350456754,-3.068280374306102,-7.70853827607408,5.6319346,5.6103888,5.67235,0.0719682521979439,0.08443032364910381,0.09210667228384416,0.14496814576084738,0.17593006756788546,0.0582,0.403,0.2363,6723.103,0.47670105919098477,103.33503434594653,66.944145,34,16,282,298,298,31,false,1.8053970314290808,0.02434330853511722,0.09572064,3.8607326,-0.021545887,-0.061961174,0.25320682,-0.19614702,-0.04270696,false,0.037,0.2123,0.122,,0,-0.040415287,,,,40,0.18732707,10.224438,0.053513415,-0.22566481,7.877704242409518E7,455139.7133456917,173.0832,27,1.1583178,1.0533491607160251E8,218971.34776630544,481.04428,342,0,4.323426245247254E7,284948.1750730456,151.72676,32,NOT_AVAILABLE,0.1184615,100001,0.19914044,,,,,,1280065496,0.29865295,0.033063006,-0.1270009,2015.5,0,,,,1635721458409799680,7720.25,9700.333,8779.0,14,Gaia DR1 2073743835537822336
"295.1714583333333,43.077826944444446",8.289418297784255E-6,2078059800932315008,Gaia DR2 2078059800932315008,295.1714685950791,43.07782340429704,76.50226988428935,9.951534429189994,312.85608432593733,62.821570858545954,2.0911955781559834,1.6860309363876564,-0.8466561268222375,5.1762185,6.4478035,4.1978083,0.12492722476867654,0.14380838659227907,0.14114678942345177,0.2726656156855452,0.2862319290785514,,,,17712.389,0.8860326436709755,336.51807848209756,105.861664,35,28,280,308,308,31,true,1.355794259530816,0.03881503678791938,0.15225627,1.1569469,1.271585,2.2499952,0.036844656,-0.36750975,-0.03718187,false,,,,200111,0,0.97841024,2622.6807,3069.1304,2845.9055,45,-0.015951768,14.81575,-0.08457506,-0.19583584,3.642787902982009E7,213935.07126219725,170.27539,28,1.2763125,1.602724261715665E8,360588.66918875935,444.4744,334,1,1.681298175690342E8,927339.4301873699,181.30342,30,NOT_AVAILABLE,-0.09151485,100002,-0.008682247,-5.808241538458474,0.15427410828345006,88.67245,139.55676,126.00573,1320498492,0.002102838,-0.055721726,-0.072010145,2015.5,11,0.0,4.5,3700.0,1635721458409799680,3568.6667,4477.0,3755.6602,15,Gaia DR1 2078059796627458048
