Object,Numax,Numax_err,White
BD+36_3564,5.0748189813,0.0988265225,4107.9661804746
BD+39_3577,13.2683198196,0.3163318632,710.6748445245
BD+39_388,4.6260777695,0.9718055246,6854.084856196
BD+42_315,38.1760927114,0.9588694547,7241.1420655564
BD+43_3064,4.4047406707,0.0800544585,28778.6924527019
BD+43_3171,1.9822769955,0.051451049,7011.5869283538
BD+43_3213,2.5610527397,0.0632508415,4461.6742049398
BD+48_290,23.1453124445,0.7225398099,19057.5631413231
BD+48_2955,5.4366086652,0.0833149848,4315.2435685125
HD_174020,2.4725221876,0.0974499958,1468.5323145739
HD_174829,7.9505486926,0.1571667548,1808.2669520597
HD_175740,64.325270427,0.7813971652,249.8564492973
HD_175884,7.0690797536,0.1144894913,293.2982735636
HD_176209,36.0650221518,0.7700293924,924.1455665354
HD_178797,6.3358286505,0.0949447565,1113.8532343533
HD_178910,32.0544536614,0.3051441316,1675.8215627882
HD_179396,31.0215653797,0.4446200737,2780.4186022912
HD_179959,12.565450851,0.1921370023,345.9833056135
HD_180312,33.8430128103,0.2769153543,1541.41647398
HD_180475,4.3322357235,0.0951790427,1751.5594133104
HD_180658,33.7666061319,0.5021030948,1748.0379093247
HD_180682,3.6750305633,0.084108343,1295.2374586806
HD_181022,1.5788994435,0.0300174776,1682.0773590186
HD_181069,41.4610795831,0.3203112162,167.3785629427
HD_181097,11.1507442934,0.1436843791,2223.6650585574
HD_181597,25.8410906814,0.2506815091,311.796089279
HD_181778,22.8536299868,0.2890841908,1193.4388540894
HD_181880,6.5398723235,0.0983311633,2945.3097135568
HD_182531,6.4642575661,0.0893162418,1825.8057878277
HD_182692,44.3687128644,0.469132554,1148.3218845704
HD_182694,69.7531256844,1.0178471725,113.0839637013
HD_183124,39.5825283543,0.2876104938,352.435953087
HD_183354,24.7239851589,0.3707943073,418.24307633
HD_185286,4.2261382444,0.1017670128,823.8142240081
HD_185351,244.3535235184,12.8089456148,35.940138882
HD_187217,4.9786924756,0.112106825,1723.2282119103
HD_188537,13.4316789312,0.3426745085,1023.0344847026
HD_188629,2.8594768089,0.1161812873,2308.3696069923
HD_188875,3.3959492909,0.2542483389,359.4736885492
HD_189636,25.9527161367,0.7419635017,1969.7665324342
HD_189750,36.1268612481,0.5754661117,4302.4075553106
HD_226754,7.3986513653,0.1859598026,5273.9085177866
